candidate_rank,id,source_file,channel,language,label,suggested_taxonomy_path,suggested_high_risk,annotator,review_status,reviewed_by,review_notes,text
1,sample_329,tests/fixtures/sa_customer_corpus/sample_329.json,call,st,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Praise on verification + onboarding.,"Ke a leboha, Verification email arrived immediately and registration was straightforward. Lekker experience!. Mosebetsi o motle!"
2,sample_217,tests/fixtures/sa_customer_corpus/sample_217.json,call,en,neutral,Billing.Invoice.Query,false,synthetic,approved,Jiuyang,Plan SLA inquiry.,"Good morning, What are the uptime SLAs for the Professional plan?"
3,sample_348,tests/fixtures/sa_customer_corpus/sample_348.json,call,tn,negative,Authentication.Login.PasswordReset,true,synthetic,approved,Jiuyang,Forgot Password link broken.,"Ke a nyorilwe, The 'Forgot Password' link does nothing when I click it. It just reloads the same page."
4,sample_140,tests/fixtures/sa_customer_corpus/sample_140.json,call,en,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Praise for onboarding call.,Onboarding call with your team was very helpful. They walked us through everything patiently. Much appreciated.
5,sample_439,tests/fixtures/sa_customer_corpus/sample_439.json,call,af,neutral,Support.General.Inquiry,false,synthetic,approved,Jiuyang,Question about next steps after signup.,I just signed up for a Team plan. What are the next steps to get started?. Groete.
6,sample_468,tests/fixtures/sa_customer_corpus/sample_468.json,call,tn,negative,Reporting.Export.Failure,true,synthetic,approved,Jiuyang,Export feature showing stale data.,My export feature keeps showing data from 2 months ago instead of today's figures. Ke kgateletsegile thata.
7,sample_404,tests/fixtures/sa_customer_corpus/sample_404.json,call,en,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Praise on quick fix.,Sharp sharp — the issue was fixed faster than expected. Baie dankie to the support team!
8,sample_330,tests/fixtures/sa_customer_corpus/sample_330.json,chat,xh,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Praise on documentation.,"Ndivuya ukuxelela, The getting-started guide is excellent. Clear, well-structured, and easy to follow. Nicanda umsebenzi omhle!"
9,sample_068,tests/fixtures/sa_customer_corpus/sample_068.json,chat,en,negative,Support.Response.Delay,true,synthetic,approved,Jiuyang,Ticket escalated but 12 days no progress.,The support agent I spoke to said the issue was escalated but it's now been 12 days and nothing.
10,sample_422,tests/fixtures/sa_customer_corpus/sample_422.json,chat,xh,neutral,Support.General.Inquiry,false,synthetic,approved,Jiuyang,Question about support hours.,What are your support hours? I'm in Johannesburg (SAST) and need to know when I can reach someone.
11,sample_226,tests/fixtures/sa_customer_corpus/sample_226.json,chat,zu,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Praise on plan renewal.,"Yebo, Just renewed our SMB plan for another year. Happy customers here!"
12,sample_288,tests/fixtures/sa_customer_corpus/sample_288.json,chat,ss,negative,Integration.Webhook.Failure,true,synthetic,approved,Jiuyang,Webhook notifications down 3 days.,"Ngikhatsatekile, Webhook notifications stopped firing 3 days ago. We're missing critical data in our system."
13,sample_293,tests/fixtures/sa_customer_corpus/sample_293.json,chat,af,neutral,Support.General.Inquiry,false,synthetic,approved,Jiuyang,Question about Salesforce/HubSpot integration.,"Goeie dag, Does your platform integrate with Salesforce or HubSpot?. Groete."
14,sample_255,tests/fixtures/sa_customer_corpus/sample_255.json,chat,zu,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Praise on support speed.,Support resolved my issue within 34 minutes. Outstanding service — thank you!
15,sample_341,tests/fixtures/sa_customer_corpus/sample_341.json,chat,af,negative,Onboarding.Registration.EmailVerification,true,synthetic,approved,Jiuyang,Account stuck pending verification.,I registered but my account is stuck on 'pending verification' and there's no way to contact anyone.
16,sample_338,tests/fixtures/sa_customer_corpus/sample_338.json,chat,en,neutral,Support.General.Inquiry,false,synthetic,approved,Jiuyang,Question about sandbox environment.,Is there a sandbox environment we can use for testing before going live?
17,sample_015,tests/fixtures/sa_customer_corpus/sample_015.json,email,zu,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Praise on system stability.,Really impressed with how stable the system has been this quarter. Zero downtime for us.
18,sample_236,tests/fixtures/sa_customer_corpus/sample_236.json,email,tn,neutral,Authentication.Login.MultiFactorAuth,false,synthetic,approved,Jiuyang,Standard MFA setup inquiry.,"Ke batla thuso, How do I enable MFA for my account? I want to improve security. Ke emetse karabo ya lona."
19,sample_056,tests/fixtures/sa_customer_corpus/sample_056.json,email,xh,negative,Integration.API.Failure,true,synthetic,approved,Jiuyang,Complaint about API rate limits.,Your API rate limits are too low for our volume. We're hitting limits within 5 minutes of opening.
20,sample_053,tests/fixtures/sa_customer_corpus/sample_053.json,email,zu,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Praise on new import tool.,The new data import tool is a massive improvement over the previous version. Well done!
21,sample_149,tests/fixtures/sa_customer_corpus/sample_149.json,email,en,neutral,Support.General.Inquiry,false,synthetic,approved,Jiuyang,Question about scheduling exports.,Is it possible to schedule automated exports from the export feature?
22,sample_036,tests/fixtures/sa_customer_corpus/sample_036.json,email,zu,negative,Billing.Payment.DuplicateCharge,true,synthetic,approved,Jiuyang,Billed after cancellation.,"Akukholeki lokhu, I cancelled my subscription 20 days ago and I'm still being billed. This needs to stop."
23,sample_395,tests/fixtures/sa_customer_corpus/sample_395.json,email,zu,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Praise on onboarding.,The onboarding process was really smooth and easy to follow. Got set up in under 30 minutes. Ngiyabonga kakhulu!
24,sample_279,tests/fixtures/sa_customer_corpus/sample_279.json,email,af,neutral,Billing.Invoice.Query,false,synthetic,approved,Jiuyang,Plan comparison inquiry.,Can you explain the difference between the Enterprise and Professional plans?
25,sample_006,tests/fixtures/sa_customer_corpus/sample_006.json,email,en,negative,Authentication.Login.MultiFactorAuth,true,synthetic,approved,Jiuyang,Cannot change MFA phone number.,"I cannot believe this, Two-factor authentication codes are being sent to an old phone number I no longer use and I can't change it."
26,sample_112,tests/fixtures/sa_customer_corpus/sample_112.json,email,en,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Praise on documentation.,"The getting-started guide is excellent. Clear, well-structured, and easy to follow."
27,sample_102,tests/fixtures/sa_customer_corpus/sample_102.json,email,en,neutral,Support.General.Inquiry,false,synthetic,approved,Jiuyang,Where to find documentation.,Where can I find the getting-started documentation for new users?. Thank you in advance.
28,sample_187,tests/fixtures/sa_customer_corpus/sample_187.json,email,en,negative,Support.Response.Delay,true,synthetic,approved,Jiuyang,Live chat unresponsive.,"I cannot believe this, Your live chat says agents are available but I've been waiting 33 minutes with no reply."
29,sample_237,tests/fixtures/sa_customer_corpus/sample_237.json,mobile_app,ss,negative,Integration.Webhook.Failure,true,synthetic,approved,Jiuyang,Webhook notifications down 7 days.,Webhook notifications stopped firing 7 days ago. We're missing critical data in our system. Ngikhatsateke kakhulu.
30,sample_126,tests/fixtures/sa_customer_corpus/sample_126.json,mobile_app,nso,positive,Authentication.Login.PasswordReset,false,synthetic,approved,Jiuyang,Positive feedback on reset (functional).,Password reset worked flawlessly this time. The email arrived within 1 minutes. Baie dankie!
31,sample_201,tests/fixtures/sa_customer_corpus/sample_201.json,mobile_app,zu,neutral,Billing.Invoice.Query,false,synthetic,approved,Jiuyang,Inquiry about cancellation policy.,What is the cancellation policy? How much notice do I need to give?. Ngicela ningithumele ulwazi.
32,sample_276,tests/fixtures/sa_customer_corpus/sample_276.json,survey,en,neutral,Support.General.Inquiry,false,synthetic,approved,Jiuyang,Feature release date question.,"Hello, When is the new billing portal feature expected to be released?"
33,sample_188,tests/fixtures/sa_customer_corpus/sample_188.json,survey,en,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Praise on bug resolution.,Baie dankie for the quick fix. The dashboard is working perfectly again. Sharp!
34,sample_351,tests/fixtures/sa_customer_corpus/sample_351.json,survey,zu,negative,Authentication.SSO.Failure,true,synthetic,approved,Jiuyang,Login page renders blank screen.,Ngiyakhala — Your login page gives me a blank white screen on Chrome. I've tried three different browsers and it's the same. Ngiyacela nisombulule lokhu.
35,sample_115,tests/fixtures/sa_customer_corpus/sample_115.json,survey,en,neutral,Support.General.Inquiry,false,synthetic,approved,Jiuyang,Inquiry about support response time.,What is the typical response time for SMB plan support tickets?
36,sample_431,tests/fixtures/sa_customer_corpus/sample_431.json,web_form,xh,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Praise on customer service.,I'm genuinely impressed with the level of support. Best experience I've had with any SaaS platform. Nicanda umsebenzi omhle!
37,sample_467,tests/fixtures/sa_customer_corpus/sample_467.json,web_form,zu,neutral,Support.General.Inquiry,false,synthetic,approved,Jiuyang,Question on supported import file formats.,"Ngicela usizo, What file formats does the data import tool support for imports?"
38,sample_081,tests/fixtures/sa_customer_corpus/sample_081.json,web_form,ve,negative,Billing.Payment.DuplicateCharge,true,synthetic,approved,Jiuyang,Billed after cancellation.,I cancelled my subscription 19 days ago and I'm still being billed. This needs to stop.
39,sample_420,tests/fixtures/sa_customer_corpus/sample_420.json,web_form,nso,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Praise on setup wizard.,"Ke a leboga, The setup wizard is intuitive and clear. I appreciated the helpful tooltips at each step."
40,sample_388,tests/fixtures/sa_customer_corpus/sample_388.json,web_form,en,neutral,Billing.Subscription.Upgrade,false,synthetic,approved,Jiuyang,Question about mid-cycle downgrade.,"Good morning, Can I downgrade my plan mid-cycle? Will I receive a prorated refund?"
41,sample_297,tests/fixtures/sa_customer_corpus/sample_297.json,whatsapp,nso,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Highly positive product feedback.,"Ke a leboga, The platform has transformed how our team works. Can't imagine going back to spreadsheets. Ke a leboga kudu!"
42,sample_500,tests/fixtures/sa_customer_corpus/sample_500.json,whatsapp,en,neutral,Support.General.Inquiry,false,synthetic,approved,Jiuyang,Inquiry about status page.,"Hi there, Is there a status page where I can check if there are any ongoing incidents?"
43,sample_001,tests/fixtures/sa_customer_corpus/sample_001.json,whatsapp,en,negative,Authentication.Login.MultiFactorAuth,true,synthetic,approved,Jiuyang,MFA code expires before use.,The MFA verification code keeps saying it's expired before I can even type it in. Authentication is completely broken.
44,sample_366,tests/fixtures/sa_customer_corpus/sample_366.json,whatsapp,xh,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Praise on UI/UX.,The new dashboard layout is clean and intuitive. Our team picked it up without any training. Ndiyabulela!
45,sample_205,tests/fixtures/sa_customer_corpus/sample_205.json,whatsapp,zu,neutral,Support.General.Inquiry,false,synthetic,approved,Jiuyang,Question about scheduled maintenance.,"Howzit, just checking — is there scheduled maintenance planned for this weekend?"
46,sample_009,tests/fixtures/sa_customer_corpus/sample_009.json,whatsapp,en,negative,Performance.Availability.Outage,true,synthetic,approved,Jiuyang,Third major outage in 15 months.,"I am frustrated, Haibo, I've been paying for this service for 15 months and this is the third major outage. Very disappointed."
47,sample_184,tests/fixtures/sa_customer_corpus/sample_184.json,whatsapp,en,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Praise on mobile export update.,The mobile app export now includes all the fields we need. Sharp — great update.
48,sample_260,tests/fixtures/sa_customer_corpus/sample_260.json,whatsapp,af,neutral,Billing.Invoice.Query,false,synthetic,approved,Jiuyang,Inquiry about billing cycle end.,When does my current billing cycle end? I'd like to know before making any changes.
49,sample_034,tests/fixtures/sa_customer_corpus/sample_034.json,whatsapp,en,negative,Support.Response.Delay,true,synthetic,approved,Jiuyang,Escalated ticket unresolved 8 days.,The support agent I spoke to said the issue was escalated but it's now been 8 days and nothing. Please fix this urgently.
50,sample_206,tests/fixtures/sa_customer_corpus/sample_206.json,whatsapp,en,positive,Support.General.PositiveFeedback,false,synthetic,approved,Jiuyang,Praise on import tool improvement.,The new data import tool is a massive improvement over the previous version. Well done!. Well done!
